,Farm ID,Location,Farm Size (Acres),Crop Type,Water Availability (mm),Soil Moisture (%),Precipitation Forecast (mm),Irrigation Need (mm),Risk Level,Decision Recommendation
0,101,"40.7128, -74.0060",324.0,Wheat,189.0,42.0,42.0,24,1,Irrigate lightly
1,102,"34.0522, -118.2437",562.0,Soy,218.0,36.0,30.0,29,0,Irrigate as needed
2,103,"29.7604, -95.3698",543.0,Corn,255.0,32.0,27.0,33,2,Increase water monitoring
3,104,"41.8781, -87.6298",411.0,Barley,154.0,45.0,38.0,33,0,Irrigate lightly
4,105,"41.8781, -87.6298",110.0,Soy,137.0,47.0,26.0,21,1,Monitor soil moisture
5,106,"29.7604, -95.3698",465.0,Soy,298.0,52.0,21.0,21,1,Irrigate as needed
6,107,"41.8781, -87.6298",585.0,Corn,234.0,34.0,16.0,16,0,Irrigate as needed
7,108,"41.8781, -87.6298",597.0,Wheat,149.0,56.0,47.0,28,2,Irrigate lightly
8,109,"36.7783, -119.4179",314.0,Rice,116.0,50.0,21.0,14,0,Increase water monitoring
9,110,"34.0522, -118.2437",358.0,Soy,254.0,46.0,42.0,15,1,Increase irrigation
10,111,"36.7783, -119.4179",385.0,Rice,195.0,40.0,17.0,32,2,Increase water monitoring
11,112,"36.7783, -119.4179",262.0,Barley,168.0,35.0,12.0,32,1,Irrigate as needed
12,113,"41.8781, -87.6298",346.0,Soy,135.0,53.0,38.0,10,0,Increase water monitoring
13,114,"29.7604, -95.3698",321.0,Wheat,154.0,34.0,10.0,35,1,Irrigate as needed
14,115,"40.7128, -74.0060",560.0,Corn,139.0,41.0,48.0,10,2,Increase irrigation
15,116,"29.7604, -95.3698",244.0,Corn,181.0,59.0,30.0,17,0,Irrigate lightly
16,117,"41.8781, -87.6298",405.0,Wheat,235.0,47.0,26.0,26,2,Irrigate lightly
17,118,"40.7128, -74.0060",467.0,Corn,197.0,58.0,24.0,21,1,Increase water monitoring
18,119,"41.8781, -87.6298",495.0,Barley,167.0,34.0,21.0,17,0,Irrigate lightly
19,120,"40.7128, -74.0060",561.0,Rice,263.0,51.0,20.0,17,1,Increase irrigation
20,121,"41.8781, -87.6298",425.0,Barley,127.0,34.0,30.0,36,2,Monitor soil moisture
21,122,"34.0522, -118.2437",350.0,Corn,122.0,40.0,10.0,38,0,Monitor soil moisture
22,123,"41.8781, -87.6298",149.0,Soy,108.0,42.0,41.0,11,0,Irrigate as needed
23,124,"29.7604, -95.3698",118.0,Rice,263.0,38.0,36.0,20,1,Increase irrigation
24,125,"36.7783, -119.4179",423.0,Soy,148.0,34.0,29.0,23,0,Increase water monitoring
25,126,"40.7128, -74.0060",573.0,Wheat,180.0,55.0,35.0,35,0,Monitor soil moisture
26,127,"36.7783, -119.4179",541.0,Soy,167.0,47.0,31.0,39,0,Irrigate as needed
27,128,"40.7128, -74.0060",324.0,Wheat,214.0,50.0,45.0,16,0,Increase water monitoring
28,129,"36.7783, -119.4179",428.0,Soy,161.0,31.0,14.0,14,0,Irrigate as needed
29,130,"29.7604, -95.3698",184.0,Corn,178.0,59.0,19.0,16,2,Irrigate as needed
30,131,"41.8781, -87.6298",324.0,Soy,233.0,37.0,16.0,37,2,Irrigate lightly
31,132,"29.7604, -95.3698",366.0,Rice,231.0,33.0,34.0,34,0,Irrigate as needed
32,133,"36.7783, -119.4179",235.0,Rice,268.0,49.0,40.0,10,1,Monitor soil moisture
33,134,"34.0522, -118.2437",195.0,Wheat,189.0,51.0,37.0,17,0,Increase water monitoring
34,135,"40.7128, -74.0060",198.0,Wheat,154.0,45.0,26.0,30,2,Increase water monitoring
35,136,"41.8781, -87.6298",483.0,Corn,193.0,45.0,43.0,18,1,Irrigate lightly
36,137,"29.7604, -95.3698",382.0,Corn,298.0,59.0,43.0,19,0,Increase water monitoring
37,138,"40.7128, -74.0060",551.0,Soy,152.0,36.0,41.0,21,1,Irrigate lightly
38,139,"41.8781, -87.6298",561.0,Soy,149.0,59.0,25.0,17,1,Increase irrigation
39,140,"34.0522, -118.2437",358.0,Wheat,153.0,53.0,12.0,29,2,Monitor soil moisture
40,141,"40.7128, -74.0060",358.0,Corn,266.0,49.0,20.0,26,1,Irrigate lightly
41,142,"40.7128, -74.0060",302.0,Wheat,138.0,55.0,32.0,31,2,Irrigate as needed
42,143,"36.7783, -119.4179",358.0,Barley,288.0,48.0,13.0,13,1,Increase water monitoring
43,144,"29.7604, -95.3698",545.0,Soy,264.0,31.0,43.0,14,0,Increase water monitoring
44,145,"36.7783, -119.4179",275.0,Wheat,284.0,48.0,47.0,23,1,Increase water monitoring
45,146,"41.8781, -87.6298",445.0,Barley,290.0,34.0,42.0,33,0,Increase irrigation
46,147,"34.0522, -118.2437",513.0,Rice,105.0,57.0,26.0,17,0,Increase water monitoring
47,148,"29.7604, -95.3698",299.0,Rice,295.0,36.0,30.0,23,2,Increase irrigation
48,149,"40.7128, -74.0060",228.0,Soy,271.0,43.0,26.0,37,0,Increase irrigation
49,150,"29.7604, -95.3698",178.0,Soy,208.0,33.0,13.0,39,2,Irrigate lightly
50,151,"40.7128, -74.0060",539.0,Soy,135.0,43.0,41.0,33,1,Increase water monitoring
51,152,"40.7128, -74.0060",186.0,Barley,174.0,54.0,28.0,23,2,Increase water monitoring
52,153,"36.7783, -119.4179",362.0,Soy,128.0,37.0,26.0,29,2,Irrigate lightly
53,154,"36.7783, -119.4179",288.0,Soy,232.0,36.0,16.0,24,2,Irrigate as needed
54,155,"36.7783, -119.4179",210.0,Soy,277.0,43.0,23.0,37,1,Monitor soil moisture
55,156,"40.7128, -74.0060",173.0,Corn,240.0,37.0,36.0,18,1,Monitor soil moisture
56,157,"36.7783, -119.4179",541.0,Barley,298.0,30.0,34.0,19,0,Irrigate as needed
57,158,"40.7128, -74.0060",334.0,Wheat,278.0,34.0,14.0,37,0,Irrigate as needed
