Farm ID,Location,Farm Size (Acres),Crop Type,Water Availability (mm),Soil Moisture (%),Precipitation Forecast (mm),Irrigation Need (mm),Risk Level,Decision Recommendation
101,"40.7128, -74.0060",324,Wheat,189.0,42.0,42,24,Low,Irrigate lightly
102,"34.0522, -118.2437",562,Soy,218.0,36.0,30,29,High,Irrigate as needed
103,"29.7604, -95.3698",543,Corn,255.0,32.0,27,33,Medium,Increase water monitoring
104,"41.8781, -87.6298",411,Barley,,45.0,38,33,High,Irrigate lightly
105,"41.8781, -87.6298",110,Soy,137.0,47.0,26,21,Low,Monitor soil moisture
106,"29.7604, -95.3698",465,Soy,298.0,52.0,21,21,Low,Irrigate as needed
107,"41.8781, -87.6298",585,Corn,234.0,34.0,16,16,High,Irrigate as needed
108,"41.8781, -87.6298",597,Wheat,149.0,56.0,47,28,Medium,Irrigate lightly
109,"36.7783, -119.4179",314,Rice,116.0,50.0,21,14,High,Increase water monitoring
110,"34.0522, -118.2437",358,Soy,254.0,46.0,42,15,Low,Increase irrigation
111,"36.7783, -119.4179",385,Rice,195.0,40.0,17,32,Medium,Increase water monitoring
112,"36.7783, -119.4179",262,Barley,168.0,35.0,12,32,Low,Irrigate as needed
113,"41.8781, -87.6298",346,Soy,135.0,53.0,38,10,High,Increase water monitoring
114,"29.7604, -95.3698",321,Wheat,,34.0,10,35,Low,Irrigate as needed
115,"40.7128, -74.0060",560,Corn,139.0,41.0,48,10,Medium,Increase irrigation
116,"29.7604, -95.3698",244,Corn,181.0,59.0,30,17,High,Irrigate lightly
117,"41.8781, -87.6298",405,Wheat,235.0,47.0,26,26,Medium,Irrigate lightly
118,"40.7128, -74.0060",467,Corn,197.0,58.0,24,21,Low,Increase water monitoring
119,"41.8781, -87.6298",495,Barley,167.0,34.0,21,17,High,Irrigate lightly
120,"40.7128, -74.0060",561,Rice,263.0,51.0,20,17,Low,Increase irrigation
121,"41.8781, -87.6298",425,Barley,127.0,34.0,30,36,Medium,Monitor soil moisture
